sleeve_id,gate,split,n,wr,dpt,sum,dpt_ci95_lo,dpt_ci95_hi
07_btc_5m_s15_hybrid_v1,g_hy_cb_with_dir,val,304,0.8519736842105263,0.9588514527681279,291.4908416415109,-0.8060308496492313,2.9724945158021563
07_btc_5m_s15_hybrid_v1,g_hy_cb_with_dir,lockbox,1024,0.7421875,3.7936920046243126,3884.740612735296,1.2521460413402241,6.331867156444369
07_btc_5m_s15_hybrid_v1,g_as_stable_AND_hy_with,train,745,0.876510067114094,1.5589076023764394,1161.3861637704474,0.4521879461078824,3.1896301233661224
07_btc_5m_s15_hybrid_v1,g_as_stable_AND_hy_with,val,235,0.8468085106382979,0.14553964612892928,34.20181684029838,-1.3269018357179283,1.5525501113498508
07_btc_5m_s15_hybrid_v1,g_as_stable_AND_hy_with,lockbox,90,0.8111111111111111,0.09198594948783546,8.278735453905192,-2.6807146171400005,3.189224981929741
08_sol_5m_s6_hybrid_v1,none,train,7429,0.7057477453223853,-0.5321837875310519,-3953.5933575681847,-0.8528413381141646,-0.13167270702383482
08_sol_5m_s6_hybrid_v1,none,val,1124,0.7935943060498221,-0.15413632331704302,-173.24922740835635,-0.9231060367085056,0.6710699708379098
08_sol_5m_s6_hybrid_v1,none,lockbox,4085,0.7111383108935129,0.6032079587176755,2464.1045113617047,0.08839321578422803,1.239549161129762
08_sol_5m_s6_hybrid_v1,g_as_stable,train,599,0.8146911519198664,-0.04299310926923713,-25.75287245227304,-1.1294844726554865,1.0366560379215033
08_sol_5m_s6_hybrid_v1,g_as_stable,val,539,0.8051948051948052,0.06280242816254077,33.85050877960947,-1.2310126156042316,1.3246701085274604
08_sol_5m_s6_hybrid_v1,g_as_stable,lockbox,427,0.6908665105386417,-0.0365386887718767,-15.60202010559135,-2.092066077516804,1.9050448349757758
08_sol_5m_s6_hybrid_v1,g_as_norm_lt_05,train,54,0.8333333333333334,-0.2598631968482135,-14.032612629803529,-3.496122730103643,2.5620557268600956
