combo,symbol,n_trades,win_rate,expectancy,profit_factor,sharpe,max_dd,buy_hold_x,final_eq_x,outperform,median_hold_h,calmar
X_none__S_zmag__E_tp_7__R_none,ETHUSDT,170,0.5294117647058824,0.0028292742842090557,1.1807584824831125,0.43588483752988993,-0.6685181456480942,1.200688988338978,1.3231854244100945,1.1020217868746984,24.0,0.1544655445528578
X_none__S_zmag__E_tp_7__R_3loss_pause,ETHUSDT,33,0.7272727272727273,0.02572868661731903,5.094147824586007,1.25557015105251,-0.07920515711294107,1.200688988338978,2.2295543393448867,1.8568957998267575,24.0,4.1025201898996615
X_none__S_zmag__E_tp_7__R_dd_pause,ETHUSDT,40,0.675,0.01988573880000373,3.744701954438204,1.1685786874263522,-0.12271161310917757,1.200688988338978,2.1095772241829214,1.75697224233004,24.0,2.440442064026568
X_none__S_zmag__E_trail_3__R_none,ETHUSDT,112,0.41964285714285715,0.009201659493661418,1.5969295611292782,0.9787702282375502,-0.3501322272626499,1.200688988338978,2.2862749611645157,1.9041358614667794,25.5,0.961559182637939
X_none__S_zmag__E_trail_3__R_3loss_pause,ETHUSDT,19,0.631578947368421,0.03007017334934387,5.137075544996737,1.185429800838404,-0.08893884619333489,1.200688988338978,1.6899492262081655,1.4074829057489946,41.0,2.2731160267669477
X_none__S_zmag__E_trail_3__R_dd_pause,ETHUSDT,21,0.6190476190476191,0.02622310285909881,4.44307211420325,1.1324383897285408,-0.10021894888093204,1.200688988338978,1.655010966231289,1.3783843962130575,45.0,1.9296494736777015
X_none__S_zmag__E_trail_5__R_none,ETHUSDT,81,0.4567901234567901,0.013853828822519733,1.6217701800528908,0.9198603255077669,-0.4323692511680928,1.200688988338978,2.393919643964193,1.9937882892354324,53.0,0.828987770751108
X_none__S_zmag__E_trail_5__R_3loss_pause,ETHUSDT,24,0.625,0.02917689370840103,2.9882009306095987,0.8692258082417844,-0.2315673771260822,1.200688988338978,1.8209150576293254,1.5165584721055554,87.0,1.0108183128316783
X_none__S_zmag__E_trail_5__R_dd_pause,ETHUSDT,10,0.8,0.08281071977518781,14.988143908584235,1.080474166989155,-0.11685969711691434,1.200688988338978,2.0927319164363354,1.742942541124993,94.0,2.531409925788768
X_none__S_zmag__E_trail_7__R_none,ETHUSDT,66,0.5606060606060606,0.015203408371990416,1.5760293057066013,0.8277634138384473,-0.4490076906495618,1.200688988338978,2.1416661421005183,1.7836976626755605,77.5,0.6823335519105952
X_none__S_zmag__E_trail_7__R_3loss_pause,ETHUSDT,15,0.6666666666666666,0.05418497003166842,5.585801067121092,1.031475396892278,-0.15822810199497087,1.200688988338978,2.058446102369565,1.714387424521316,96.0,1.8222419453991934
