fid,slug,outcome,ts,price,size
459,btc-updown-5m-1783949700,Down,1783949843,0.75,20.0
460,btc-updown-5m-1783949100,Up,1783949342,0.87,19.35
461,btc-updown-5m-1783949100,Down,1783949296,0.1,20.0
462,btc-updown-5m-1783949100,Down,1783949104,0.66,20.0
463,btc-updown-5m-1783948800,Up,1783949017,0.89,20.0
464,btc-updown-5m-1783948800,Down,1783948817,0.79,20.0
465,btc-updown-5m-1783948500,Down,1783948775,0.94,20.0
466,btc-updown-5m-1783948500,Down,1783948772,0.84,20.0
467,btc-updown-5m-1783948500,Down,1783948772,0.83,20.0
468,btc-updown-5m-1783948500,Down,1783948766,0.91,20.0
469,btc-updown-5m-1783948500,Down,1783948766,0.9099999965,20.219777
470,btc-updown-5m-1783948500,Up,1783948763,0.04,25.0
471,btc-updown-5m-1783948500,Up,1783948762,0.04,25.0
472,btc-updown-5m-1783948500,Down,1783948747,0.47,20.0
473,btc-updown-5m-1783948500,Down,1783948709,0.5,20.0
474,btc-updown-5m-1783947900,Down,1783948186,0.93,1.51
475,btc-updown-5m-1783947900,Down,1783948186,0.93,20.0
