tag,fire_us,pnl,won,vwap,slug
cloud_vwap_v7,1780148400000000,1.7515716861749235,1,0.7303592577970786,eth-updown-5m-1780148100
cloud_ribbon_v6,1780148400000000,1.7515716861749235,1,0.7303592577970786,eth-updown-5m-1780148100
v6c3_v7,1780150800000000,-5.0,0,0.9,eth-updown-5m-1780150500
cloud_ribbon_v6,1780150800000000,-5.0,0,0.9,eth-updown-5m-1780150500
v8_grandparent,1780152300000000,-5.0,0,0.71,eth-updown-5m-1780152000
v6c3_v7,1780152300000000,-5.0,0,0.71,eth-updown-5m-1780152000
cloud_ribbon_v6,1780152300000000,-5.0,0,0.71,eth-updown-5m-1780152000
cloud_vwap_v7,1780152300000000,-5.0,0,0.71,eth-updown-5m-1780152000
cloud_vwap_v7,1780152900000000,1.5791666666666668,1,0.75,eth-updown-5m-1780152600
cloud_ribbon_v6,1780152900000000,1.5791666666666668,1,0.75,eth-updown-5m-1780152600
v6c3_v7,1780152900000000,1.5791666666666668,1,0.75,eth-updown-5m-1780152600
v8_grandparent,1780153200000000,6.988621951219514,1,0.41,eth-updown-5m-1780152900
v8_grandparent,1780153800000000,3.3310762711864412,1,0.59,eth-updown-5m-1780153500
cloud_vwap_v7,1780153800000000,3.3310762711864412,1,0.59,eth-updown-5m-1780153500
v8_grandparent,1780154400000000,-5.0,0,0.36,eth-updown-5m-1780154100
cloud_vwap_v7,1780154700000000,2.1378768115942033,1,0.69,eth-updown-5m-1780154400
cloud_ribbon_v6,1780154700000000,2.1378768115942033,1,0.69,eth-updown-5m-1780154400
v6c3_v7,1780154700000000,2.1378768115942033,1,0.69,eth-updown-5m-1780154400
v8_grandparent,1780155000000000,2.8070079365079366,1,0.63,eth-updown-5m-1780154700
cloud_ribbon_v6,1780155300000000,3.473689655172415,1,0.58,eth-updown-5m-1780155000
cloud_vwap_v7,1780155300000000,3.473689655172415,1,0.58,eth-updown-5m-1780155000
