label,n_trades,sharpe,cagr,max_dd,calmar,win_rate,final_equity,buy_hold_x,final_eq_x,outperform,entry_signals_total,symbol,entry,exit,risk_filter
A4_cross_inst_lead__TP5_SL2_TR3p5_H72__R_none,165,0.251,0.0316,-0.2984,0.106,0.37,10978.89,3.744815148782687,1.097889,0.29317575270888513,3040,SOLUSDT,A4_cross_inst_lead,TP5_SL2_TR3p5_H72,R_none
A4_cross_inst_lead__TP5_SL2_TR3p5_H72__R_3loss_pause,126,-0.007,-0.0307,-0.3057,-0.1,0.341,9107.9,3.744815148782687,0.91079,0.24321360703106187,2295,SOLUSDT,A4_cross_inst_lead,TP5_SL2_TR3p5_H72,R_3loss_pause
A4_cross_inst_lead__TP8_SL2_TR5_H96__R_none,118,0.655,0.1618,-0.4138,0.391,0.305,15676.43,3.744815148782687,1.5676430000000001,0.4186169243920058,3040,SOLUSDT,A4_cross_inst_lead,TP8_SL2_TR5_H96,R_none
A4_cross_inst_lead__TP8_SL2_TR5_H96__R_3loss_pause,89,0.509,0.1007,-0.313,0.322,0.292,13332.89,3.744815148782687,1.333289,0.35603599831447147,2153,SOLUSDT,A4_cross_inst_lead,TP8_SL2_TR5_H96,R_3loss_pause
A4_cross_inst_lead__TP6_SL2p5_TR4_H48__R_none,139,0.605,0.1212,-0.2599,0.466,0.331,14090.29,3.744815148782687,1.409029,0.3762612956898628,3040,SOLUSDT,A4_cross_inst_lead,TP6_SL2p5_TR4_H48,R_none
A4_cross_inst_lead__TP6_SL2p5_TR4_H48__R_3loss_pause,103,0.401,0.062,-0.263,0.236,0.33,11976.07,3.744815148782687,1.1976069999999999,0.31980403635925836,2213,SOLUSDT,A4_cross_inst_lead,TP6_SL2p5_TR4_H48,R_3loss_pause
A5_2of3_composite__TP5_SL2_TR3p5_H72__R_none,287,-0.241,-0.143,-0.5216,-0.274,0.328,6295.25,3.744815148782687,0.629525,0.16810576089573803,2240,SOLUSDT,A5_2of3_composite,TP5_SL2_TR3p5_H72,R_none
A5_2of3_composite__TP5_SL2_TR3p5_H72__R_3loss_pause,204,0.31,0.0494,-0.3236,0.153,0.343,11555.35,3.744815148782687,1.155535,0.30856930291355644,1621,SOLUSDT,A5_2of3_composite,TP5_SL2_TR3p5_H72,R_3loss_pause
A5_2of3_composite__TP8_SL2_TR5_H96__R_none,200,0.553,0.1478,-0.4214,0.351,0.305,15117.2,3.744815148782687,1.5117200000000002,0.4036834770045751,2240,SOLUSDT,A5_2of3_composite,TP8_SL2_TR5_H96,R_none
A5_2of3_composite__TP8_SL2_TR5_H96__R_3loss_pause,139,0.25,0.0297,-0.4101,0.072,0.288,10916.33,3.744815148782687,1.091633,0.29150517625812666,1485,SOLUSDT,A5_2of3_composite,TP8_SL2_TR5_H96,R_3loss_pause
A5_2of3_composite__TP6_SL2p5_TR4_H48__R_none,240,0.457,0.098,-0.3485,0.281,0.338,13235.74,3.744815148782687,1.323574,0.3534417447628221,2240,SOLUSDT,A5_2of3_composite,TP6_SL2p5_TR4_H48,R_none
A5_2of3_composite__TP6_SL2p5_TR4_H48__R_3loss_pause,175,0.173,0.0107,-0.3447,0.031,0.32,10324.55,3.744815148782687,1.032455,0.2757025270888514,1598,SOLUSDT,A5_2of3_composite,TP6_SL2p5_TR4_H48,R_3loss_pause
A6_3of3_composite__TP5_SL2_TR3p5_H72__R_none,143,0.567,0.1206,-0.3352,0.36,0.35,14070.3,3.744815148782687,1.40703,0.3757274909703829,779,SOLUSDT,A6_3of3_composite,TP5_SL2_TR3p5_H72,R_none
A6_3of3_composite__TP5_SL2_TR3p5_H72__R_3loss_pause,112,0.474,0.086,-0.3271,0.263,0.357,12806.28,3.744815148782687,1.280628,0.34197362196002895,583,SOLUSDT,A6_3of3_composite,TP5_SL2_TR3p5_H72,R_3loss_pause
