rule,side,asset,tf,fire_offset_s,n,wins,WR,sum_pnl,per_trade,ha_n,ha_WR,ha_per_trade,ha_sum,lm_n,lm_WR,lm_per_trade,lm_sum,edge_vs_HA_per_trade,edge_vs_LM_per_trade,additive_per_trade
XF-A,DN,BTC,5m,300,5,3,0.6,-44.87713502643524,-8.975427005287049,2665,0.8112570356472796,0.6062889305816136,1615.7600000000002,168,0.38095238095238093,-8.720823289965965,-1465.0983127142822,-9.581715935868662,-0.2546037153210836,False
XF-A,BOTH,BTC,5m,300,15,7,0.4666666666666667,-133.4857763466055,-8.899051756440366,2665,0.8112570356472796,0.6062889305816136,1615.7600000000002,168,0.38095238095238093,-8.720823289965965,-1465.0983127142822,-9.50534068702198,-0.17822846647440116,False
XF-A,UP,ETH,15m,60,3,2,0.6666666666666666,-5.625846344327632,-1.8752821147758771,706,0.6147308781869688,0.2171671388101983,153.32000000000002,97,0.670103092783505,0.4059846309188417,39.38050919912765,-2.0924492535860755,-2.281266745694719,False
XF-A,DN,ETH,15m,60,5,5,1.0,36.42120262422066,7.284240524844132,706,0.6147308781869688,0.2171671388101983,153.32000000000002,97,0.670103092783505,0.4059846309188417,39.38050919912765,7.067073386033934,6.8782558939252905,False
XF-A,BOTH,ETH,15m,60,8,7,0.875,30.79535627989304,3.84941953498663,706,0.6147308781869688,0.2171671388101983,153.32000000000002,97,0.670103092783505,0.4059846309188417,39.38050919912765,3.6322523961764315,3.443434904067788,False
XF-A,UP,ETH,15m,120,3,1,0.3333333333333333,-45.91283734307105,-15.304279114357016,665,0.6616541353383458,0.3100751879699249,206.20000000000005,87,0.7126436781609197,1.7707106461529147,154.05182621530358,-15.61435430232694,-17.07498976050993,False
XF-A,DN,ETH,15m,120,3,2,0.6666666666666666,-4.6820053404864295,-1.56066844682881,665,0.6616541353383458,0.3100751879699249,206.20000000000005,87,0.7126436781609197,1.7707106461529147,154.05182621530358,-1.8707436347987347,-3.3313790929817246,False
XF-A,BOTH,ETH,15m,120,6,3,0.5,-50.594842683557474,-8.432473780592913,665,0.6616541353383458,0.3100751879699249,206.20000000000005,87,0.7126436781609197,1.7707106461529147,154.05182621530358,-8.742548968562838,-10.203184426745828,False
XF-A,UP,ETH,15m,240,7,4,0.5714285714285714,-47.389147583802895,-6.769878226257556,682,0.7096774193548387,0.4051612903225807,276.32000000000005,83,0.5180722891566265,-8.306009496833244,-689.3987882371592,-7.175039516580137,1.5361312705756882,False
XF-A,DN,ETH,15m,240,1,1,1.0,2.663044064870843,2.663044064870843,682,0.7096774193548387,0.4051612903225807,276.32000000000005,83,0.5180722891566265,-8.306009496833244,-689.3987882371592,2.2578827745482624,10.969053561704087,False
XF-A,BOTH,ETH,15m,240,8,5,0.625,-44.72610351893205,-5.590762939866506,682,0.7096774193548387,0.4051612903225807,276.32000000000005,83,0.5180722891566265,-8.306009496833244,-689.3987882371592,-5.995924230189087,2.715246556966738,False
XF-A,UP,ETH,15m,360,5,2,0.4,-65.91267774086516,-13.182535548173032,664,0.713855421686747,0.413433734939759,274.52,77,0.6753246753246753,0.0103251865354687,0.7950393632310906,-13.59596928311279,-13.1928607347085,False
