sleeve_a,sleeve_b,n_a,n_b,jaccard_fire,jaccard_slug,inter_fires,union_fires,inter_slugs,union_slugs,cov_smaller
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_5M_DEPTH_UP_HOD_SESSION_V5,212,90,0.0,0.0,0,302,0,286,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_5M_RF_TR_PARTIAL_MID_V5,212,207,0.0,0.0,0,419,0,408,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_5M_RF_TR_PP_MID_V5,212,126,0.0,0.0,0,338,0,333,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_15M_EMA200_MPSKEW_RF_OFF600_DOWN_V6,212,526,0.0,0.0423728813559322,0,738,30,708,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_15M_EMA800_RIBSLP_HAWKES_OFF840_V6,212,353,0.0,0.06203007518796992,0,565,33,532,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_15M_VWAPPREM_EMA50_MPSKEW_OFF600_V6,212,359,0.0,0.030685920577617327,0,571,17,554,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_15M_PW_TRENDSLOPE_TRSTACK_VWAP_VOL_OFFEARLY_V6,212,63,0.0,0.0,0,275,0,275,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_BAND_V6,212,90,0.0,0.0,0,302,0,302,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_5M_BB_MP_HURST_BAND_V6,212,162,0.0,0.0,0,374,0,374,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_5M_CLOUD_RIBBON_MP_HURST_V6,212,481,0.0,0.0,0,693,0,693,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_5M_V5_REPL_OFF120_V6,212,120,0.0,0.0,0,332,0,332,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_15M_HOD_EU_OFF60_240_RF_TR_VWAP80_V6,212,336,0.0,0.0,0,548,0,473,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_15M_HOD_EU_TIGHTRIB_RF_TR_VWAP80_V6,212,749,0.0,0.0,0,961,0,619,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_5M_CCI_F7_MFI_PARTIAL_VWAP_V6,212,183,0.0,0.0,0,395,0,370,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_5M_F7_MFI_EMA200_VWAP_V6,212,144,0.0,0.0,0,356,0,337,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_5M_F7_MP_EMA200_VWAP_V6,212,189,0.0,0.0,0,401,0,379,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_15M_V7_BASELINE,212,526,0.0,0.0423728813559322,0,738,30,708,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_5M_V7_T1_PARENT15M_REGIME,212,526,0.0,0.0,0,738,0,444,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_5M_V7_T2_PARENT15M_SLOPE,212,413,0.0,0.0,0,625,0,458,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_5M_V7_T3_OFI_TS,212,689,0.0,0.0,0,901,0,653,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_5M_V7_T4_HURST_TS_HAWKES,212,918,0.0,0.0,0,1130,0,717,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,BTC_5M_V7_T5_PARENT15M_NOTRANGING_MPSKEW,212,219,0.0,0.0,0,431,0,309,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_15M_V7_PG_RV_ABOVE_MED,212,56,0.0,0.0,0,268,0,268,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_15M_V7_PG_VOL_EXTREME_CORE,212,37,0.0,0.0,0,249,0,249,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_15M_V7_PG_VOL_EXTREME_TS,212,35,0.0,0.0,0,247,0,247,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_15M_V7_PI_S1_BTC_15M_TREND,212,64,0.0,0.0,0,276,0,276,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_15M_V7_PI_S1_TS_AND_BTC_15M,212,57,0.0,0.0,0,269,0,269,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_5M_V7_C1_CLOUD_VWAP_HURST_MP,212,163,0.0,0.0,0,375,0,375,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_5M_V7_C2_EMA50_HURST_PARENT_RANGING,212,748,0.0,0.0,0,960,0,960,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_5M_V7_C3_V6C3_PARENT_RANGING,212,437,0.0,0.0,0,649,0,649,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_5M_V7_C4_XA_3SOURCE_PARENT_RANGING,212,105,0.0,0.0,0,317,0,317,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,ETH_5M_V7_C5_CLOUD_HURST_VWAP_PARENT,212,265,0.0,0.0,0,477,0,477,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_15M_V7_S1_BTC_ADX_VOLLOW,212,40,0.0,0.0,0,252,0,241,0.0
BTC_15M_REGIME_TRSTACK_OFF480_UP_V5,SOL_15M_V7_S1_BTC_ADX_VOLLOW_V2,212,42,0.0,0.0,0,254,0,243,0.0
